Title,Authors,Affiliations,Qualifier,Major Qualifier,Descriptor,Major Descriptor,Abstract,Journal,Language,Year,Month
The greater good.,NA,NA,['economics'],NA,"[StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Research', attributes={'UI': 'D012106', 'MajorTopicYN': 'N'}), StringElement('Research Personnel', attributes={'UI': 'D012108', 'MajorTopicYN': 'Y'}), StringElement('Research Support as Topic', attributes={'UI': 'D012109', 'MajorTopicYN': 'Y'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'}), StringElement('Universities', attributes={'UI': 'D014495', 'MajorTopicYN': 'N'})]","[StringElement('Research Personnel', attributes={'UI': 'D012108', 'MajorTopicYN': 'Y'}), StringElement('Research Support as Topic', attributes={'UI': 'D012109', 'MajorTopicYN': 'Y'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'})]",NA,Nature,eng,2014,Jan
Neurophysiology of performance monitoring and adaptive behavior.,"['Ullsperger, Markus', 'Danielmeier, Claudia', 'Jocham, Gerhard']",[],['physiology'],NA,"[StringElement('Adaptation, Psychological', attributes={'UI': 'D000223', 'MajorTopicYN': 'N'}), StringElement('Animals', attributes={'UI': 'D000818', 'MajorTopicYN': 'N'}), StringElement('Behavior', attributes={'UI': 'D001519', 'MajorTopicYN': 'N'}), StringElement('Brain', attributes={'UI': 'D001921', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Learning', attributes={'UI': 'D007858', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'N'})]",[],"Successful goal-directed behavior requires not only correct action selection, planning, and execution but also the ability to flexibly adapt behavior when performance problems occur or the environment changes. A prerequisite for determining the necessity, type, and magnitude of adjustments is to continuously monitor the course and outcome of one's actions. Feedback-control loops correcting deviations from intended states constitute a basic functional principle of adaptation at all levels of the nervous system. Here, we review the neurophysiology of evaluating action course and outcome with respect to their valence, i.e., reward and punishment, and initiating short- and long-term adaptations, learning, and decisions. Based on studies in humans and other mammals, we outline the physiological principles of performance monitoring and subsequent cognitive, motivational, autonomic, and behavioral adaptation and link them to the underlying neuroanatomy, neurochemistry, psychological theories, and computational models. We provide an overview of invasive and noninvasive systemic measures, such as electrophysiological, neuroimaging, and lesion data. We describe how a wide network of brain areas encompassing frontal cortices, basal ganglia, thalamus, and monoaminergic brain stem nuclei detects and evaluates deviations of actual from predicted states indicating changed action costs or outcomes. This information is used to learn and update stimulus and action values, guide action selection, and recruit adaptive mechanisms that compensate errors and optimize goal achievement.",Physiological reviews,eng,2014,Jan
AIonAI: a humanitarian law of artificial intelligence and robotics.,"['Ashrafian, Hutan']","[""Department of Surgery and Cancer, St Mary's Hospital, Imperial College London, 10th Floor QEQM-Building, Praed Street, London, W2 1NY, UK, h.ashrafian@imperial.ac.uk.""]",['ethics'],NA,"[StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'N'}), StringElement('Codes of Ethics', attributes={'UI': 'D032781', 'MajorTopicYN': 'Y'}), StringElement('Human Rights', attributes={'UI': 'D006806', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Morals', attributes={'UI': 'D009014', 'MajorTopicYN': 'Y'}), StringElement('Robotics', attributes={'UI': 'D012371', 'MajorTopicYN': 'N'})]","[StringElement('Codes of Ethics', attributes={'UI': 'D032781', 'MajorTopicYN': 'Y'}), StringElement('Morals', attributes={'UI': 'D009014', 'MajorTopicYN': 'Y'})]","The enduring progression of artificial intelligence and cybernetics offers an ever-closer possibility of rational and sentient robots. The ethics and morals deriving from this technological prospect have been considered in the philosophy of artificial intelligence, the design of automatons with roboethics and the contemplation of machine ethics through the concept of artificial moral agents. Across these categories, the robotics laws first proposed by Isaac Asimov in the twentieth century remain well-recognised and esteemed due to their specification of preventing human harm, stipulating obedience to humans and incorporating robotic self-protection. However the overwhelming predominance in the study of this field has focussed on human-robot interactions without fully considering the ethical inevitability of future artificial intelligences communicating together and has not addressed the moral nature of robot-robot interactions. A new robotic law is proposed and termed AIonAI or artificial intelligence-on-artificial intelligence. This law tackles the overlooked area where future artificial intelligences will likely interact amongst themselves, potentially leading to exploitation. As such, they would benefit from adopting a universal law of rights to recognise inherent dignity and the inalienable rights of artificial intelligences. Such a consideration can help prevent exploitation and abuse of rational and sentient beings, but would also importantly reflect on our moral code of ethics and the humanity of our civilisation.",Science and engineering ethics,eng,2015,Feb
Resilient liners: a review.,"['Rodrigues, Shobha', 'Shenoy, Vidya', 'Shetty, Thilak']","['Department of Prosthodontics, Manipal College of Dental Sciences, Manipal University, Mangalore, 575001 India.', 'Department of Prosthodontics, Manipal College of Dental Sciences, Manipal University, Mangalore, 575001 India.', 'Department of Prosthodontics, Manipal College of Dental Sciences, Manipal University, Mangalore, 575001 India.']",NA,NA,No Data,NA,"Resilient liners when used intelligently are an excellent adjunct in removable prosthodontics. However, currently they have to be best considered as temporary expedients because none of the advocated permanent liners have life expectancy comparable to resin denture base. This article reviews the literature regarding their composition, functions, gelation characteristics, bond strength and influence on denture bases. It also presents their drawbacks and attempts made to extend their longevity. A Medline search was completed for the period from 1986 to 2007, along with a manual search, to identify pertinent English peer-reviewed articles and textbooks.",Journal of Indian Prosthodontic Society,eng,2013,Sep
Genetic associations between intelligence and cortical thickness emerge at the start of puberty.,"['Brouwer, Rachel M', 'van Soelen, Inge L C', 'Swagerman, Suzanne C', 'Schnack, Hugo G', 'Ehli, Erik A', 'Kahn, René S', 'Hulshoff Pol, Hilleke E', 'Boomsma, Dorret I']","['Brain Center Rudolf Magnus, Department of Psychiatry, University Medical Center Utrecht, Utrecht, The Netherlands.']","['genetics', 'anatomy & histology']",NA,"[StringElement('Alleles', attributes={'UI': 'D000483', 'MajorTopicYN': 'N'}), StringElement('Brain-Derived Neurotrophic Factor', attributes={'UI': 'D019208', 'MajorTopicYN': 'N'}), StringElement('Cerebral Cortex', attributes={'UI': 'D002540', 'MajorTopicYN': 'N'}), StringElement('Child', attributes={'UI': 'D002648', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Follow-Up Studies', attributes={'UI': 'D005500', 'MajorTopicYN': 'N'}), StringElement('Functional Laterality', attributes={'UI': 'D007839', 'MajorTopicYN': 'N'}), StringElement('Genotype', attributes={'UI': 'D005838', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'}), StringElement('Intelligence Tests', attributes={'UI': 'D007361', 'MajorTopicYN': 'N'}), StringElement('Language', attributes={'UI': 'D007802', 'MajorTopicYN': 'N'}), StringElement('Longitudinal Studies', attributes={'UI': 'D008137', 'MajorTopicYN': 'N'}), StringElement('Magnetic Resonance Imaging', attributes={'UI': 'D008279', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Models, Genetic', attributes={'UI': 'D008957', 'MajorTopicYN': 'N'}), StringElement('Organ Size', attributes={'UI': 'D009929', 'MajorTopicYN': 'N'}), StringElement('Puberty', attributes={'UI': 'D011627', 'MajorTopicYN': 'N'}), StringElement('Registries', attributes={'UI': 'D012042', 'MajorTopicYN': 'N'})]","[StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'})]","Cognitive abilities are related to (changes in) brain structure during adolescence and adulthood. Previous studies suggest that associations between cortical thickness and intelligence may be different at different ages. As both intelligence and cortical thickness are heritable traits, the question arises whether the association between cortical thickness development and intelligence is due to genes influencing both traits. We study this association in a longitudinal sample of young twins. Intelligence was assessed by standard IQ tests at age 9 in 224 twins, 190 of whom also underwent structural magnetic resonance imaging (MRI). Three years later at age 12, 177/125 twins returned for a follow-up measurement of intelligence/MRI scanning, respectively. We investigated whether cortical thickness was associated with intelligence and if so, whether this association was driven by genes. At age 9, there were no associations between cortical thickness and intelligence. At age 12, a negative relationship emerged. This association was mainly driven by verbal intelligence, and manifested itself most prominently in the left hemisphere. Cortical thickness and intelligence were explained by the same genes. As a post hoc analysis, we tested whether a specific allele (rs6265; Val66Met in the BDNF gene) contributed to this association. Met carriers showed lower intelligence and a thicker cortex, but only the association between the BDNF genotype and cortical thickness in the left superior parietal gyrus reached significance. In conclusion, it seems that brain areas contributing to (verbal) intellectual performance are specializing under the influence of genes around the onset of puberty.",Human brain mapping,eng,2014,Aug
"More on leadership: ambiguity, integrity, wisdom.","['Parse, Rosemarie Rizzo']","['Loyola University Chicago, Pittsburgh, PA.']",[],[],"[StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'}), StringElement('Leadership', attributes={'UI': 'D007857', 'MajorTopicYN': 'Y'})]","[StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'}), StringElement('Leadership', attributes={'UI': 'D007857', 'MajorTopicYN': 'Y'})]",NA,Nursing science quarterly,eng,2014,Jan
Changes in thickness and surface area of the human cortex and their relationship with intelligence.,"['Schnack, Hugo G', 'van Haren, Neeltje E M', 'Brouwer, Rachel M', 'Evans, Alan', 'Durston, Sarah', 'Boomsma, Dorret I', 'Kahn, René S', 'Hulshoff Pol, Hilleke E']","['Rudolf Magnus Institute of Neuroscience, Brain Division, University Medical Centre Utrecht, 3584 CX Utrecht, The Netherlands.', 'Rudolf Magnus Institute of Neuroscience, Brain Division, University Medical Centre Utrecht, 3584 CX Utrecht, The Netherlands.', 'Rudolf Magnus Institute of Neuroscience, Brain Division, University Medical Centre Utrecht, 3584 CX Utrecht, The Netherlands.', 'McConnell Brain Imaging Centre, Montreal Neurological Institute, McGill University, Montreal, QC, Canada H3A 2B4 and.', 'Rudolf Magnus Institute of Neuroscience, Brain Division, University Medical Centre Utrecht, 3584 CX Utrecht, The Netherlands.', 'Department of Biological Psychology, VU University Amsterdam, 1081 BT Amsterdam, The Netherlands.', 'Rudolf Magnus Institute of Neuroscience, Brain Division, University Medical Centre Utrecht, 3584 CX Utrecht, The Netherlands.', 'Rudolf Magnus Institute of Neuroscience, Brain Division, University Medical Centre Utrecht, 3584 CX Utrecht, The Netherlands.']","['anatomy & histology', 'physiology']",NA,"[StringElement('Adolescent', attributes={'UI': 'D000293', 'MajorTopicYN': 'N'}), StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Aging', attributes={'UI': 'D000375', 'MajorTopicYN': 'N'}), StringElement('Cerebral Cortex', attributes={'UI': 'D002540', 'MajorTopicYN': 'N'}), StringElement('Child', attributes={'UI': 'D002648', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Healthy Volunteers', attributes={'UI': 'D064368', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Image Processing, Computer-Assisted', attributes={'UI': 'D007091', 'MajorTopicYN': 'N'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'}), StringElement('Intelligence Tests', attributes={'UI': 'D007361', 'MajorTopicYN': 'N'}), StringElement('Magnetic Resonance Imaging', attributes={'UI': 'D008279', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Regression Analysis', attributes={'UI': 'D012044', 'MajorTopicYN': 'N'}), StringElement('Young Adult', attributes={'UI': 'D055815', 'MajorTopicYN': 'N'})]","[StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'})]","Changes in cortical thickness over time have been related to intelligence, but whether changes in cortical surface area are related to general cognitive functioning is unknown. We therefore examined the relationship between intelligence quotient (IQ) and changes in cortical thickness and surface over time in 504 healthy subjects. At 10 years of age, more intelligent children have a slightly thinner cortex than children with a lower IQ. This relationship becomes more pronounced with increasing age: with higher IQ, a faster thinning of the cortex is found over time. In the more intelligent young adults, this relationship reverses so that by the age of 42 a thicker cortex is associated with higher intelligence. In contrast, cortical surface is larger in more intelligent children at the age of 10. The cortical surface is still expanding, reaching its maximum area during adolescence. With higher IQ, cortical expansion is completed at a younger age; and once completed, surface area decreases at a higher rate. These findings suggest that intelligence may be more related to the magnitude and timing of changes in brain structure during development than to brain structure per se, and that the cortex is never completed but shows continuing intelligence-dependent development.","Cerebral cortex (New York, N.Y. : 1991)",eng,2015,Jun
Medical decision-making inspired from aerospace multisensor data fusion concepts.,"['Pombo, Nuno', 'Bousson, Kouamana', 'Araújo, Pedro', 'Viana, Joaquim']",['Department of Informatics .'],['methods'],NA,"[StringElement('Data Collection', attributes={'UI': 'D003625', 'MajorTopicYN': 'N'}), StringElement('Evaluation Studies as Topic', attributes={'UI': 'D005069', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Internet', attributes={'UI': 'D020407', 'MajorTopicYN': 'Y'}), StringElement('Medical Records Systems, Computerized', attributes={'UI': 'D016347', 'MajorTopicYN': 'N'}), StringElement('Models, Theoretical', attributes={'UI': 'D008962', 'MajorTopicYN': 'N'}), StringElement('Monitoring, Physiologic', attributes={'UI': 'D008991', 'MajorTopicYN': 'N'}), StringElement('Pain Measurement', attributes={'UI': 'D010147', 'MajorTopicYN': 'N'})]","[StringElement('Internet', attributes={'UI': 'D020407', 'MajorTopicYN': 'Y'})]","In recent years, Internet-delivered treatments have been largely used for pain monitoring, offering healthcare professionals and patients the ability to interact anywhere and at any time. Electronic diaries have been increasingly adopted as the preferred methodology to collect data related to pain intensity and symptoms, replacing traditional pen-and-paper diaries. This article presents a multisensor data fusion methodology based on the capabilities provided by aerospace systems to evaluate the effects of electronic and pen-and-paper diaries on pain. We examined English-language studies of randomized controlled trials that use computerized systems and the Internet to collect data about chronic pain complaints. These studies were obtained from three data sources: BioMed Central, PubMed Central and ScienceDirect from the year 2000 until 30 June 2012. Based on comparisons of the reported pain intensity collected during pre- and post-treatment in both the control and intervention groups, the proposed multisensor data fusion model revealed that the benefits of technology and pen-and-paper are qualitatively equivalent [Formula: see text]. We conclude that the proposed model is suitable, intelligible, easy to implement, time efficient and resource efficient.",Informatics for health & social care,eng,2015,NA
Effects of student participation in school health promotion: a systematic review.,"['Griebler, Ursula', 'Rojatz, Daniela', 'Simovska, Venka', 'Forster, Rudolf']","['Ludwig Boltzmann Institute Health Promotion Research, Vienna, Austria.', 'Ludwig Boltzmann Institute Health Promotion Research, Vienna, Austria.', 'Department of Education, Aarhus University, Copenhagen, Denmark.', 'Ludwig Boltzmann Institute Health Promotion Research, Vienna, Austria.']","['organization & administration', 'psychology']",NA,"[StringElement('Cooperative Behavior', attributes={'UI': 'D003299', 'MajorTopicYN': 'Y'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Interpersonal Relations', attributes={'UI': 'D007398', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Personal Satisfaction', attributes={'UI': 'D010549', 'MajorTopicYN': 'N'}), StringElement('School Health Services', attributes={'UI': 'D012572', 'MajorTopicYN': 'N'}), StringElement('Students', attributes={'UI': 'D013334', 'MajorTopicYN': 'N'})]","[StringElement('Cooperative Behavior', attributes={'UI': 'D003299', 'MajorTopicYN': 'Y'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'})]","The aim of this systematic review was to summarize systematically the existing evidence for the effects of student participation in designing, planning, implementing and/or evaluating school health promotion measures. The focus was on the effects of participation in school health promotion measures rather than on student involvement at school in general. Participation is a core value for health promotion but empirical evidence of its outcomes is scarce. We searched major bibliographic databases (including ASSIA, ERIC, PsycINFO, Scopus, PubMed and the Social Sciences Citation Index). Two reviewers independently decided about inclusion and exclusion of the identified abstracts (n = 5075) and full text articles. Of the 90 full text articles screened, 26 papers met the inclusion criteria. We identified evidence for positive effects, especially for the students themselves, the school as organization, and interactions and social relations at school. Almost all included studies showed personal effects on students referring to an increased satisfaction, motivation and ownership, an increase in skills, competencies and knowledge, personal development, health-related effects and influence on student perspective. Given that student participation has more been discussed as a value, or ideal of health promotion in schools, these findings documenting its effectiveness are important. However, further research is needed to consider the level or intensity of involvement, different approaches and stages of participation in the health promotion intervention, as well as mediating factors such as gender, socio-cultural background or academic achievement, in a more systematic manner.",Health promotion international,eng,2017,Apr
Anti-smoking environment: a perspective from Murray's psychogenic needs theory.,"['Randheer, Kokku', 'Almotairi, Mohammad', 'Naeem, Haseebullah Abdul']","['College of Business Administration, King Saud University. rkokku@ksu.edu.sa.']","['methods', 'psychology']",NA,"[StringElement('Achievement', attributes={'UI': 'D000124', 'MajorTopicYN': 'N'}), StringElement('Counseling', attributes={'UI': 'D003376', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Health Education', attributes={'UI': 'D006266', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Internationality', attributes={'UI': 'D038622', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Power, Psychological', attributes={'UI': 'D011209', 'MajorTopicYN': 'N'}), StringElement('Psychological Theory', attributes={'UI': 'D011582', 'MajorTopicYN': 'Y'}), StringElement('Smoking', attributes={'UI': 'D012907', 'MajorTopicYN': 'N'}), StringElement('Smoking Cessation', attributes={'UI': 'D016540', 'MajorTopicYN': 'N'}), StringElement('Smoking Prevention', attributes={'UI': 'D000074606', 'MajorTopicYN': 'Y'}), StringElement('Social Behavior', attributes={'UI': 'D012919', 'MajorTopicYN': 'N'})]","[StringElement('Psychological Theory', attributes={'UI': 'D011582', 'MajorTopicYN': 'Y'}), StringElement('Smoking Prevention', attributes={'UI': 'D000074606', 'MajorTopicYN': 'Y'})]","Smoking emerged as a social problem in many nations. Smoking is inflicting injuries to society including addiction, diseases, health damage, and loss of productivity. Individuals, institutions and governments are working to contain the menace of smoking. Many policies, programs and activities are being designed and implemented. To extend a helping hand to fight against smoking this study brought to light the amalgamation of Murray's psychogenic needs theory with anti-smoking activities to create an effective anti-smoking environment.  Conceptual methodology is adopted and five propositions were drafted. This study conclude that anti-smoking activities general education, campaigning, counseling, social welfare, and medical camps when moderated by Murray's psychogenic needs power, affiliation and achievement can create an effective anti-smoking environment further leading to quitting or reduction in the smoking.",Global journal of health science,eng,2013,Oct
Association between lymphocyte and monocyte subsets and cognition in children with HIV.,NA,"['HIV-NAT, The Thai Red Cross AIDS Research Centre, 104 Rajdumri Road, Pathumwan, Bangkok 10330, Thailand. jintanat.a@hivnat.org.']",NA,NA,No Data,NA,"This study assesses the relationships between lymphocyte and monocyte subsets and intelligence quotient (IQ) scores in antiretroviral therapy (ART)-naive, HIV-infected Thai children without advanced HIV disease.",AIDS research and therapy,eng,2014,Jan
What is the place of clinicians' religious or spiritual commitments in psychotherapy? A virtues-based perspective.,"['Peteet, John R']","[""Department of Psychiatry, Brigham and Women's Hospital, 75 Francis Street, Boston, MA, 02115, USA, jpeteet@partners.org.""]",['ethics'],NA,"[StringElement('Health Personnel', attributes={'UI': 'D006282', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Psychotherapy', attributes={'UI': 'D011613', 'MajorTopicYN': 'N'}), StringElement('Religion', attributes={'UI': 'D012067', 'MajorTopicYN': 'N'}), StringElement('Religion and Psychology', attributes={'UI': 'D012069', 'MajorTopicYN': 'Y'}), StringElement('Virtues', attributes={'UI': 'D028722', 'MajorTopicYN': 'Y'})]","[StringElement('Religion and Psychology', attributes={'UI': 'D012069', 'MajorTopicYN': 'Y'}), StringElement('Virtues', attributes={'UI': 'D028722', 'MajorTopicYN': 'Y'})]","Value neutrality in psychotherapy is widely acknowledged to be a myth, and a majority of US physicians report that their religious faith influences their practice. Most attention to therapists' religious and spiritual commitments has focused on ethical boundaries, transference/countertransference dynamics and questions about how to relate religious and psychological truth. No consensus exists about the legitimate place in psychotherapy of clinicians' differing value commitments. Therapists' virtues are vitally important in psychotherapy, not least in the relational and aspirational process by which the patient identifies with the therapist as they engage together in confronting obstacles which the patient has been unable to surmount alone. Among the individual and cultural factors that shape a therapist's virtues are spiritual traditions, which encourage preferred or characteristic virtues. Arguably, these include for Jews, communal responsibility and critical thought; for Christians, love and grace; for Muslims, reverence and obedience; for Buddhists, equanimity and compassion; for Hindus, appreciation of Dharma and Karma; and for secularists, respect for scientific evidence and intelligibility. These have differing implications for treatment, as illustrated through the use of a hypothetical case. Attention to differing spiritual and religious virtues in a pluralistic culture offers opportunities for creative dialogue, collaborative teaching and interdisciplinary research.",Journal of religion and health,eng,2014,Aug
Relationship of spiritual intelligence with resilience and perceived stress.,"['Khosravi, Masoumeh', 'Nikmanesh, Zahra']","['Department of Psychology, School of Education and Psychology, University of Sistan and Baluchestan, Zahedan, Iran.', 'Associate Professor, Department of Psychology, School of Education and Psychology, University of Sistan and Baluchestan, Zahedan, Iran.']",NA,NA,No Data,NA,"The purpose of this study was to investigate on relationship between spiritual intelligence, resilience, and perceived stress.",Iranian journal of psychiatry and behavioral sciences,eng,2014,NA
Why self-control seems (but may not be) limited.,"['Inzlicht, Michael', 'Schmeichel, Brandon J', 'Macrae, C Neil']","['University of Toronto, Department of Psychology, Toronto, Canada; Rotman School of Management, University of Toronto, Toronto, Canada. Electronic address: michael.inzlicht@utoronto.ca.', 'Texas A & M University, Department of Psychology, College Station, TX, USA.', 'University of Aberdeen, School of Psychology, Aberdeen, UK.']","['physiopathology', 'metabolism', 'physiology']",NA,"[StringElement('Animals', attributes={'UI': 'D000818', 'MajorTopicYN': 'N'}), StringElement('Brain', attributes={'UI': 'D001921', 'MajorTopicYN': 'N'}), StringElement('Executive Function', attributes={'UI': 'D056344', 'MajorTopicYN': 'Y'}), StringElement('Glucose', attributes={'UI': 'D005947', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Mental Fatigue', attributes={'UI': 'D005222', 'MajorTopicYN': 'N'}), StringElement('Models, Psychological', attributes={'UI': 'D008960', 'MajorTopicYN': 'Y'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Volition', attributes={'UI': 'D014836', 'MajorTopicYN': 'Y'})]","[StringElement('Executive Function', attributes={'UI': 'D056344', 'MajorTopicYN': 'Y'}), StringElement('Models, Psychological', attributes={'UI': 'D008960', 'MajorTopicYN': 'Y'}), StringElement('Volition', attributes={'UI': 'D014836', 'MajorTopicYN': 'Y'})]","Self-control refers to the mental processes that allow people to override thoughts and emotions, thus enabling behavior to vary adaptively from moment to moment. Dominating contemporary research on this topic is the viewpoint that self-control relies upon a limited resource, such that engaging in acts of restraint depletes this inner capacity and undermines subsequent attempts at control (i.e., ego depletion). Noting theoretical and empirical problems with this view, here we advance a competing model that develops a non-resource-based account of self-control. We suggest that apparent regulatory failures reflect the motivated switching of task priorities as people strive to strike an optimal balance between engaging cognitive labor to pursue 'have-to' goals versus preferring cognitive leisure in the pursuit of 'want-to' goals.",Trends in cognitive sciences,eng,2014,Mar
